Stud Q1 Q2 Q3 Q4 Q5
1234 052 007 100 078 034
2134 090 036 090 077 030
3124 100 045 020 090 070
4532 011 017 081 032 077
5678 020 012 045 078 034
6134 034 080 055 078 045
7874 060 100 056 078 078
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 011 000 078 010
6999 000 098 089 078 020
2234 012 058 084 090 094
1544 059 017 750 068 064
3136 080 056 094 067 039
5134 700 075 060 088 079
4772 061 037 088 062 057
5693 060 042 047 068 094
1434 044 086 059 070 075
7477 070 090 066 088 074
2024 082 070 056 071 076
9153 054 079 057 068 080
1277 095 050 078 068 065
3875 035 060 079 088 090
3159 072 080 100 098 047
4903 079 060 051 078 070
6205 041 039 040 068 020
1534 062 017 060 058 044
2434 070 046 080 067 040
2424 080 055 030 060 080
4762 081 067 071 042 087
5998 030 042 055 068 074
6094 094 080 075 068 055
7404 070 100 066 058 098
8306 090 030 046 058 066
9743 044 059 067 078 050
1007 085 050 068 078 065
